
Contrast: TPT_Semakau 

       average        sd  ratio       ava       avb cumsum
92   0.0007568 0.002281 0.3318 0.0000000 0.0015137 0.9988
1210 0.0007494 0.003274 0.2289 0.0000000 0.0014989 0.9996
53   0.0003507 0.001532 0.2289 0.0000000 0.0007014 1.0000
265  0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1279 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1773 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000
1943 0.0000000 0.000000    NaN 0.0000000 0.0000000 1.0000

Contrast: Raffles Light House_Jong 

       average        sd  ratio       ava       avb cumsum
4    0.0775847 0.0576181 1.3465 0.5729790 0.4756692 0.1904
17   0.0237291 0.0203805 1.1643 0.0290947 0.0430098 0.2487
8    0.0176853 0.0159968 1.1056 0.0377361 0.0241807 0.2921
18   0.0174789 0.0141496 1.2353 0.0760574 0.0791098 0.3350
31   0.0161444 0.0214083 0.7541 0.0036640 0.0327897 0.3746
202  0.0150400 0.0381367 0.3944 0.0035123 0.0273482 0.4115
19   0.0136803 0.0160777 0.8509 0.0142901 0.0223630 0.4451
24   0.0124071 0.0113952 1.0888 0.0211358 0.0159392 0.4755
38   0.0118509 0.0094810 1.2500 0.0197778 0.0254506 0.5046
41   0.0117475 0.0173145 0.6785 0.0023370 0.0227159 0.5334
11   0.0111401 0.0120106 0.9275 0.0072430 0.0206937 0.5608
9    0.0104164 0.0078467 1.3275 0.0221042 0.0220063 0.5863
10   0.0090816 0.0080611 1.1266 0.0172691 0.0094686 0.6086
46   0.0090081 0.0211878 0.4252 0.0034138 0.0153611 0.6307
49   0.0084918 0.0159812 0.5314 0.0056242 0.0126216 0.6516
58   0.0080336 0.0093023 0.8636 0.0120009 0.0095253 0.6713
15   0.0080300 0.0113950 0.7047 0.0156479 0.0023878 0.6910
416  0.0076917 0.0151450 0.5079 0.0015079 0.0145457 0.7099
21   0.0067402 0.0099546 0.6771 0.0119456 0.0038372 0.7264
1404 0.0056483 0.0070047 0.8064 0.0080231 0.0061821 0.7403
51   0.0054170 0.0072604 0.7461 0.0076838 0.0063093 0.7536
